id,place_name,is_restaurant,categories,average_rating,rate_count,granular_category,lat,lng,place_id
3836,simple burger,RESTAURANT,American,4,143,restaurants,24.7559318,46.6760041,ChIJC3cZek79Lj4RTClQz-3c8CM
3837,Bayt Alfatirah Aldimashqia,RESTAURANT,Arabic|Pizza,4.3,38,restaurants,24.8114618,46.6263299,ChIJ74WzOHvkLj4RTggI7GAb-5k
3838,GEZER BURGER,RESTAURANT,Burgers,4.3,296,restaurants,24.8114618,46.6263299,ChIJ74WzOHvkLj4RTggI7GAb-5k
3839,Mashkhoul,RESTAURANT,Grill|Arabic|Seafood|Saudi,4.4,139,restaurants,24.755336,46.682259,ChIJs6Odxlr9Lj4Rv652xEz8HOo
3840,The Sushi House,RESTAURANT,Sushi|Japanese,4.4,36,restaurants,24.7558742,46.6758714,ChIJjfk4d079Lj4RCdy4P1rvNh0
3841,Shack Burger,RESTAURANT,Sandwich|Fast Food|Beverages|Burgers,4.4,569,restaurants,24.811494,46.626265,ChIJ74WzOHvkLj4RTggI7GAb-5k
3842,Carbless,RESTAURANT,Sandwich|Seafood|Healthy|Salads,3.5,18,restaurants,24.7933675,46.6285061,ChIJtXrp6JzjLj4RqDgKCfJnzHA
3843,Fluency,RESTAURANT,Desserts|Coffee|Breakfast,0,0,restaurants,24.7933675,46.6285061,ChIJtXrp6JzjLj4RqDgKCfJnzHA
3844,ladar,RESTAURANT,Desserts,5,1,restaurants,24.8017869,46.7424561,ChIJG4N-W9H9Lj4RHcjzvbcV7KQ
3845,Tasali Altiseinat,RESTAURANT,Fast Food|Arabic,3.4,26,restaurants,24.7933151,46.6284324,ChIJtXrp6JzjLj4RqDgKCfJnzHA
3846,Mzaq Warg Enab,RESTAURANT,Fast Food|Arabic|American|Saudi,4.4,143,restaurants,24.758857,46.663109,ChIJB4I60rfiLj4RHqTSIDPcEPM
3847,Pizzariyo,RESTAURANT,Italian|Pizza|Pasta|Pastries,3.1,14,restaurants,24.7807109,46.6345221,ChIJxb-VdQnjLj4R-lrLds5vx9M
3848,Pronto,RESTAURANT,Sandwich|Italian|Healthy|Pasta|Salads,4.4,945,restaurants,24.7804675,46.6346729,ChIJ6ah2GQnjLj4RmoRESGrBo0Y
3849,Tacomania,RESTAURANT,Desserts,4.4,31,restaurants,24.7804675,46.6346729,ChIJ6ah2GQnjLj4RmoRESGrBo0Y
3850,Broasted Express,RESTAURANT,Sandwich|Fast Food|Beverages,3.9,219,restaurants,24.7804675,46.6346729,ChIJ6ah2GQnjLj4RmoRESGrBo0Y
3851,Sliced Pizza,RESTAURANT,Pizza|Pasta,3.8,4,restaurants,24.79323334,46.62839829,ChIJtXrp6JzjLj4RqDgKCfJnzHA
3852,blind,RESTAURANT,Fast Food|American|Burgers,4.2,193,restaurants,24.79324453,46.62838808,ChIJtXrp6JzjLj4RqDgKCfJnzHA
3853,Njnaj,RESTAURANT,Desserts,4,8,restaurants,24.75615647,46.67307696,ChIJNVgIXEz9Lj4RG1CHFfO3Zd8
3854,Zawkiyat,RESTAURANT,Desserts,3.8,6,restaurants,24.7850154,46.6318951,ChIJwW3rpgrjLj4R6BoZxjcCX0Q
3855,Z36R,RESTAURANT,Bakery|Pastries,0,0,restaurants,24.7854607,46.63158155,ChIJk7lgCKDjLj4REXJ6LVdFzs0
3856,Alwaleemah Resaturants,RESTAURANT,Arabic|Saudi,4.3,301,restaurants,24.79309459,46.62827789,ChIJtXrp6JzjLj4RqDgKCfJnzHA
3857,OWCH,RESTAURANT,Fast Food|American|Burgers,3.5,11,restaurants,24.7612552,46.6568733,ChIJ__CypMbiLj4RTEVGFLWoLCs
3858,Salad &amp; Co,RESTAURANT,Arabic|Healthy,4.1,7,restaurants,24.7550356,46.6793235,ChIJLy71FlD9Lj4RuEYkF0o_R7Y
3859,Soup &amp; Co,RESTAURANT,Arabic|Healthy,2.8,13,restaurants,24.7550356,46.6793235,ChIJLy71FlD9Lj4RuEYkF0o_R7Y
3860,Bagel &amp; Co,RESTAURANT,Healthy,2.5,2,restaurants,24.7550356,46.6793235,ChIJLy71FlD9Lj4RuEYkF0o_R7Y
3861,Eggs &amp; Co,RESTAURANT,Arabic,4.8,6,restaurants,24.7550356,46.6793235,ChIJLy71FlD9Lj4RuEYkF0o_R7Y
3862,Calculeat,RESTAURANT,Sandwich|Healthy|Salads|Breakfast,5,3,restaurants,24.7550356,46.6793235,ChIJLy71FlD9Lj4RuEYkF0o_R7Y
3863,Training Day,RESTAURANT,Sandwich|Healthy|Salads|Breakfast,4.3,9,restaurants,24.7550356,46.6793235,ChIJLy71FlD9Lj4RuEYkF0o_R7Y
3864,Healthy and Co,RESTAURANT,Sandwich|Healthy|Salads|Breakfast,4.5,162,restaurants,24.7550356,46.6793235,ChIJLy71FlD9Lj4RuEYkF0o_R7Y
3865,Wild purple acai,RESTAURANT,Fast Food|Desserts|Healthy|Breakfast,4.3,21,restaurants,24.7550356,46.6793235,ChIJLy71FlD9Lj4RuEYkF0o_R7Y
3866,bravo avocado,RESTAURANT,Sandwich|Healthy|Breakfast,4.4,5,restaurants,24.7550356,46.6793235,ChIJLy71FlD9Lj4RuEYkF0o_R7Y
3867,Let's Acai,RESTAURANT,Fast Food|Desserts|Healthy|Breakfast,4.3,24,restaurants,24.7550356,46.6793235,ChIJLy71FlD9Lj4RuEYkF0o_R7Y
3868,Acai jamboree,RESTAURANT,Healthy|Breakfast,4.6,5,restaurants,24.7550356,46.6793235,ChIJLy71FlD9Lj4RuEYkF0o_R7Y
3869,Poke and Co,RESTAURANT,Arabic|Healthy,4,54,restaurants,24.7550356,46.6793235,ChIJLy71FlD9Lj4RuEYkF0o_R7Y
3870,Avo &amp;Co,RESTAURANT,Arabic|Healthy,4.4,25,restaurants,24.7550356,46.6793235,ChIJLy71FlD9Lj4RuEYkF0o_R7Y
3871,Picante,RESTAURANT,Arabic|Healthy,4.4,51,restaurants,24.7550356,46.6793235,ChIJLy71FlD9Lj4RuEYkF0o_R7Y
3872,Karak T,RESTAURANT,Desserts|Beverages|Coffee,4.2,220,restaurants,24.75528346,46.67626457,ChIJ8YXPEU79Lj4RJcv7gY1Ijro
3873,Gahwah,RESTAURANT,Desserts|Coffee,0,0,restaurants,24.839328,46.732626,ChIJmZNIDYkDLz4R1Z_nmBxNl7o
3874,Mashwiaat Altootalennabi,RESTAURANT,Sandwich|Grill|Arabic,4,150,restaurants,24.754828,46.678712,ChIJLy71FlD9Lj4RuEYkF0o_R7Y
3875,TF bakery,RESTAURANT,Breakfast,3.9,8,restaurants,24.7970082,46.6266303,ChIJuVE0C4TjLj4RzTW6jiNx2EA
3876,Breehant,RESTAURANT,Desserts|Coffee,4.5,185,restaurants,24.8130376,46.6254551,ChIJr1Sa3mTkLj4RiqaS9QqRoZA
3877,Najd For Gifts,RESTAURANT,Flowers,4.4,8,flowers_and_plants,24.75812599,46.66289271,ChIJ8VGWxLfiLj4R2PVQVGEgafc
3878,Shawarma Aloosh,RESTAURANT,Sandwich|Fast Food|Shawarma,4.3,141,restaurants,24.828497,46.6295207,ChIJWT6TKFnkLj4RUH0JT0yquxg
3879,Bundoqiah Cafe,RESTAURANT,Sandwich|Beverages|Coffee|Juices,3.7,3,restaurants,24.7826538,46.7367668,ChIJKXcI9Oj9Lj4RmYItBBpg4x8
