id,place_name,average_rating,granular_category,lat,lng
7720,Hammer Burger Hummer Burger,5,restaurant,24.6898125,46.5950625
7721,Happiness Roundabout,4.7,restaurant,24.6898686,46.5952042
7722,Shawarma Ayoub Arqa,4.4,restaurant,24.6898717,46.5952322
7723,Restaurants and voices of the suburbs of Taif,3.7,restaurant,24.655335,46.5123447
7724,Bangladesh Fish,4.5,restaurant,24.6552745,46.5134254
7725,Shawarma smoked restaurant on the embers of firewood,3.7,restaurant,24.6549729,46.5108502
7726,Tsali and Boufia Youssef Al -Balushi,3.7,restaurant,24.6546718,46.5232302
7727,Grilled Burgers grilled burger,3.9,restaurant,24.5436822,46.5142768
7728,Bukhari Su'ah Sway Restaurant,3.6,restaurant,24.543709,46.5146403
7729,Nada oven restaurant,4.8,restaurant,24.5540195,46.5088986
7730,Fawal East Palm,3.8,restaurant,24.5544368,46.5086923
7731,One buffet liver,3.8,restaurant,24.547397,46.5138069
7732,Buffed to the nights of Dammam,4.2,restaurant,24.5477495,46.5138437
7733,Fast food restaurant,,restaurant,24.5436264,46.5166375
7734,Pakistani Rattorna,4.5,restaurant,24.5436372,46.5167391
7735,Grilled burger,4.1,restaurant,24.5495221,46.5139947
7736,Happy popularity,3.8,restaurant,24.5496814,46.5140159
7737,Hambarten,4,restaurant,24.5547665,46.5103075
7738,Dominas Pisa,3.7,restaurant,24.5545785,46.5104803
7739,Pour,4.1,restaurant,24.5548831,46.5102228
7740,Subway,3.4,restaurant,24.5544972,46.5106627
7741,Shawarma Clask,3.9,restaurant,24.554764,46.510468
7742,BerraisezerBurgerizzr,4.3,restaurant,24.554658,46.510698
7743,Style of the pick,4.6,restaurant,24.5504852,46.5139957
7744,Taif Candles Restaurant,4.8,restaurant,24.5506742,46.5140331
7745,Jizani and Balila Yasser,4.5,restaurant,24.5576011,46.5088454
7746,Al -Freij's McCbus Restaurant,3.8,restaurant,24.5514158,46.5141904
7747,Dirati Dirati restaurant and kitchens company.,3.8,restaurant,24.7802766,46.6854126
7748,Dominos Pizza,3.8,restaurant,24.7752662,46.6879205
7749,Saudi Fish Company,3.8,restaurant,24.7947361,46.7426325
7750,Sweets his reputation,4.3,restaurant,24.762608,46.715171
7751,Berrychen,3.8,restaurant,24.7822387,46.743927
7752,Burger and grilled potatoes,4.1,restaurant,24.7619053,46.7154982
7753,Kodo,3.7,restaurant,24.7601287,46.717744
7754,Ready restaurants and kitchens,3.7,restaurant,24.8109326,46.8119304
7755,Pergarezar,4.1,restaurant,24.80856,46.806484
7756,Karam shawarma 1,3.1,restaurant,24.7756721,46.8357417
7757,Pyramid land,3.6,restaurant,24.7754022,46.8361307
7758,Bukhari Restaurant,3.1,restaurant,24.7768517,46.8356386
7759,"Fawal, Boufia, and Illuminati Kholoud Al -Mutairi",3.6,restaurant,24.7771207,46.8353087
7760,Soden units,4.5,restaurant,24.7727214,46.8376723
7761,Umm Abdulaziz kitchen for popular food,,restaurant,24.7720198,46.8300249
7762,Breakfast tents ðŸ•ï¸,5,restaurant,24.7779736,46.8310499
7763,Food left Al -Ghait,5,restaurant,24.7781237,46.8310556
7764,Lemon Restaurant,3.8,restaurant,24.7788826,46.8315465
7765,Dana honey,3.9,cafe,24.5294433,46.7193463
7766,International Square,4.1,cafe,24.5677872,46.7295922
7767,Java Cafe,4.5,cafe,24.5606913,46.7068814
7768,Kofi Rasting K.And a feedback,4,cafe,24.5619071,46.7416939
7769,Skilled Cafe Long,4.1,cafe,24.5645412,46.7100744
7770,Copper coffee,4.2,cafe,24.5647083,46.710276
7771,C x Cafe,4,cafe,24.5645626,46.7100545
7772,Nights of Karam Lounge,4.5,cafe,24.5647909,46.7102503
7773,Experience tea,5,cafe,24.5676191,46.7147096
7774,Dunkin,3.2,cafe,24.5555996,46.7027027
7775,Parn's Parn's,4.2,cafe,24.5600563,46.7050484
7776,Food left Joy taste,4.8,cafe,24.568107,46.7157011
7777,Library and Coffee Book and Coffee,5,cafe,24.553006,46.701632
